"X","Y","pH60_100cm","Terrain_Ruggedness_Index","AACN","Landsat_Band1","Elevation","Hillshading","Light_insolation","Mid_Slope_Positon","MRVBF","NDVI","TWI","Slope","residual","looResiduals"
340426.528,6370286.72,5.822295,3.518778,12.388748,54,112.579201,4.80298,1644.02039,0.139264,0.562031,-0.2,13.176785,4.227742,0.0820123785333484,0.474557365048821
340554,6365872,6.961612,7.224751,45.011215,48,154.343994,6.742684,1828.63525,0.669347,0.527919,-0.111111,11.439265,8.529936,0.0125863225166585,0.0332449493577585
341210.5,6366346.8,8.922555,10.254381,78.906631,44,181.707199,15.676012,1638.16834,0.687618,0.004252,-0.306122,9.256364,11.685883,0.439246243416664,0.578277226113583
340818.679,6366860.27,5.736069,6.696729,34.087746,36,141.067505,6.881498,1849.37024,0.37595,0.046571,-0.438202,11.844429,10.079962,-0.0276016220666548,0.0345238036026787
341261.701,6368430.05,5.077655,1.483011,38.577614,55,131.847702,0.662701,1706.90918,0.805373,0.055385,-0.292035,11.726074,0.676432,-0.517324524683332,-0.992857880945496
340205.9,6366884.8,5.925079,8.301124,63.174599,49,180.840302,4.69999,1768.92468,0.793778,0.018329,-0.212121,9.099071,6.987611,-0.234500562661897,-0.224358992264474
340846.888,6366969.41,6.910012,6.760605,24.881226,48,131.306702,10.20778,1621.43396,0.798554,0.75659,-0.344538,13.454535,7.967385,0.0779096518666726,0.302408861730006
341759.8,6365340.5,5.21507,1.037088,23.728088,41,123.114799,1.304743,1688.6593,0.088115,0.398154,-0.333333,16.269865,1.293596,-0.415114905233354,-0.919653481331378
340673,6365443,5.860583,3.930156,27.104019,49,134.8703,4.079091,1779.87036,0.745996,0.489845,-0.20339,15.339082,4.808691,-0.0388187672333222,0.0504240641003229
340309.452,6368107.85,4.528185,1.906298,13.104515,54,119.987,1.846485,1718.72498,0.260666,1.669959,-0.169492,14.293442,1.868449,-0.551055008166678,-1.02118513307168
340483,6364993,8.289833,7.648862,76.085716,57,184.841003,9.354456,1839.90076,0.794272,0.006408,-0.22449,8.665704,10.750896,0.817563726445275,2.06951055258241
340341.4,6366955.7,5.098405,8.54932,47.118279,39,162.2043,6.522706,1749.16345,0.319825,0.107656,-0.333333,9.654963,11.425286,-0.392267302083335,-0.685983164508132
339969.159,6368000.87,3.956412,4.084665,11.537796,54,125.261497,6.060834,1701.92102,0.218243,0.282819,-0.211009,12.96907,5.410092,-0.697794504699995,-1.31234354710487
342331.8,6367984.7,7.350626,2.170411,13.569405,54,98.989502,1.956571,1720.37573,0.612847,1.824912,-0.214286,15.377018,2.271308,0.425582885116648,0.659782608136934
342759.385,6366193.33,7.059466,1.276853,5.725876,47,94.261513,1.331187,1687.63538,0.720192,2.930108,-0.236364,16.175625,1.314456,0.18716006216669,0.553323144963008
340538.137,6369596.6,7.211658,0.609443,2.830833,61,99.460999,0.811469,1716.09741,0.839812,3.95384,-0.1875,19.146896,0.852177,-0.288454125850015,-0.682799824096424
339051.574,6368777.69,7.511035,3.896401,4.252258,56,124.594704,1.60692,1733.74609,0.94982,1.976813,-0.272727,17.050823,1.735099,0.474940977983305,1.20926490912266
340732.69,6369653.27,9.253922,0.915539,3.451103,62,97.838997,0.839325,1719.47229,0.808788,3.944854,-0.157895,18.484776,0.896708,0.943119344216687,2.00789247121492
341062,6365056,7.904177,9.204115,50.337585,56,155.337494,17.756165,1523.46484,0.489711,0.002467,-0.222222,9.127787,12.368155,0.198569374866653,0.246611490053322
340721.06,6365018.1,5.146834,8.394805,74.910454,41,182.258804,3.727772,1785.09143,0.823824,0.007417,-0.25,9.137,4.59664,-0.734327070990493,-1.61752774049332
341781.278,6368714.61,4.463983,4.359849,16.919579,56,102.793999,6.310273,1668.2616,0.219236,0.507587,-0.185185,12.636942,5.406125,-0.64086162145,-1.53149940842239
340417.353,6368356.8,4.436701,2.620587,5.136032,59,108.394997,1.339987,1729.89258,0.819619,2.090023,-0.203252,17.006004,1.458299,-0.71133860328333,-1.48573624860514
339887.812,6369915.11,5.518831,2.134391,3.644035,59,108.925499,2.25226,1680.43665,0.770066,1.540254,-0.212598,16.528246,2.144667,-0.171596859366667,-0.315359522953548
340559.118,6369167.98,6.255134,1.636886,2.300552,59,99.917999,0.934104,1721.86096,0.843865,3.664095,-0.19685,18.790501,1.005097,-0.24368615141667,-0.595147918269933
340140.2,6367296.3,5.899999,8.681162,26.875473,43,146.382507,11.889125,1758.92651,0.035,0.039991,-0.410714,9.810162,10.761852,-0.265598768733356,-0.437322924524825
341285.5,6366321.8,8.307229,10.560123,61.730583,42,163.776505,18.561583,1632.53174,0.300375,0.001525,-0.3125,9.334009,13.570886,0.328031542066676,0.272448253175249
